School Name,ID,Reporting Year,# Of Apps Full-Time,# Of Apps Part-Time,# Of Apps Total,# Of Offers Full-Time,# Of Offers Part-Time,# Of Offers Total,# Of Matriculants Full-Time,# Of Matriculants Part-Time,# Of Matriculants Total,75th Percentile GPA Full-Time,75th Percentile GPA Part-Time,75th Percentile GPA Total,50th Percentile GPA Full-Time,50th Percentile GPA Part-Time,50th Percentile GPA Total,25th Percentile GPA Full-Time,25th Percentile GPA Part-Time,25th Percentile GPA Total,# not incl. in GPA percentile calc. Full-Time,# not incl. in GPA percentile calc. Part-Time,# not incl. in GPA percentile calc. Total,75th Percentile LSAT Full-Time,75th Percentile LSAT Part-Time,75th Percentile LSAT Total,50th Percentile LSAT Full-Time,50th Percentile LSAT Part-Time,50th Percentile LSAT Total,25th Percentile LSAT Full-Time,25th Percentile LSAT Part-Time,25th Percentile LSAT Total,# not incl. in LSAT percentile calc. Full-Time,# not incl. in LSAT percentile calc. Part-Time,# not incl. in LSAT percentile calc. Total
"ALABAMA, UNIVERSITY OF",1,2016,"1,624",0,"1,624",511,0,511,133,0,133,3.92,0,3.92,3.82,0,3.82,3.45,0,3.45,0,0,0,165,0,165,163,0,163,157,0,157,6,0,6
"ALABAMA, UNIVERSITY OF",1,2015,"1,584",0,"1,584",581,0,581,153,0,153,3.93,0,3.93,3.76,0,3.76,3.29,0,3.29,0,0,0,164,0,164,163,0,163,156,0,156,7,0,7
"ALABAMA, UNIVERSITY OF",1,2014,"1,896",0,"1,896",521,0,521,134,0,134,3.94,0,3.94,3.77,0,3.77,3.37,0,3.37,1,0,1,165,0,165,163,0,163,157,0,157,5,0,5
"ALABAMA, UNIVERSITY OF",1,2013,"1,849",0,"1,849",454,0,454,145,0,145,3.94,0,3.94,3.86,0,3.86,3.42,0,3.42,,,,166,0,166,164,0,164,157,0,157,,,
"ALABAMA, UNIVERSITY OF",1,2012,"1,679",0,"1,679",423,0,423,149,0,149,3.94,0,3.94,3.83,0,3.83,3.31,0,3.31,,,,167,0,167,165,0,165,158,0,158,,,
"ALABAMA, UNIVERSITY OF",1,2011,"1,872",0,"1,872",473,0,473,160,0,160,3.94,0,3.94,3.83,0,3.83,3.42,0,3.42,,,,167,0,167,165,0,165,158,0,158,,,
ARIZONA STATE UNIVERSITY,2,2016,"1,860",0,"1,860",780,0,780,228,0,228,3.8,0,3.8,3.64,0,3.64,3.34,0,3.34,2,0,2,163,0,163,161,0,161,158,0,158,5,0,5
ARIZONA STATE UNIVERSITY,2,2015,"1,423",0,"1,423",616,0,616,215,0,215,3.8,0,3.8,3.63,0,3.63,3.39,0,3.39,3,0,3,163,0,163,161,0,161,158,0,158,6,0,6
ARIZONA STATE UNIVERSITY,2,2014,"1,410",0,"1,410",622,0,622,143,0,143,3.78,0,3.78,3.61,0,3.61,3.37,0,3.37,1,0,1,163,0,163,162,0,162,157,0,157,0,0,0
ARIZONA STATE UNIVERSITY,2,2013,"1,595",0,"1,595",624,0,624,128,0,128,3.71,0,3.71,3.54,0,3.54,3.33,0,3.33,,,,164,0,164,162,0,162,158,0,158,,,
